listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-001,seller-001,MacBook Pro,2023 model,1500000,2026-04-24T10:00:00Z,2026-04-24T10:00:00Z,
,,,,,,,
marketplace_listings (no change),,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-001,ebay,PUBLISHED,mock-a1b2c3d4,2026-04-24T10:05:00Z,null,2026-04-24T10:00:00Z,2026-04-24T10:05:00Z
,,,,,,,
activity_events (row added),,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
listing-001,evt-001,ebay,2026-04-24T10:05:00Z,publish_success,"{""externalListingId"":""mock-a1b2c3d4""}",,
listing-001,evt-002,ebay,2026-04-24T10:10:00Z,item_sold,"{""buyerName"":""Test Buyer"",""salePrice"":1500000,""transactionId"":""txn-001""}",,
listing-001,evt-003,ebay,2026-04-24T10:15:00Z,new_comment,"{""comment"":""Is this still available?"",""buyerName"":""Test Buyer""}",,
,,,,,,,
,,,,,,,
Step 2 (failure path). Webhook received — publish_failed (eBay),,,,,,,
20% probability. status: PENDING → FAILED.,,,,,,,
,,,,,,,
listings (no change),,,,,,,
listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-001,seller-001,MacBook Pro,2023 model,1500000,2026-04-24T10:00:00Z,2026-04-24T10:00:00Z,
,,,,,,,
marketplace_listings (status / updatedAt updated),,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-001,ebay,FAILED,null,null,null,2026-04-24T10:00:00Z,2026-04-24T10:05:00Z
,,,,,,,
activity_events (row added),,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
listing-001,evt-001,ebay,2026-04-24T10:05:00Z,publish_failed,"{""reason"":""Simulated marketplace error""}",,
,,,,,,,
,,,,,,,
,,,,,,,
Scenario 2 — Listed on both eBay and Facebook Marketplace,,,,,,,
,,,,,,,
Step 1. POST /listings (eBay + Facebook selected),,,,,,,
,,,,,,,
listings,,,,,,,
listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-002,seller-001,iPad Pro,2024 model,800000,2026-04-24T11:00:00Z,2026-04-24T11:00:00Z,
,,,,,,,
marketplace_listings,,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-002,ebay,PENDING,null,null,null,2026-04-24T11:00:00Z,2026-04-24T11:00:00Z
listing-002,facebook,PENDING,null,null,null,2026-04-24T11:00:00Z,2026-04-24T11:00:00Z
,,,,,,,
activity_events,,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
(empty),,,,,,,
,,,,,,,
,,,,,,,
Step 2. Webhooks received — eBay publish_success / Facebook publish_failed,,,,,,,
Each row updated independently.,,,,,,,
,,,,,,,
listings (no change),,,,,,,
listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-002,seller-001,iPad Pro,2024 model,800000,2026-04-24T11:00:00Z,2026-04-24T11:00:00Z,
,,,,,,,
marketplace_listings (each row updated independently),,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-002,ebay,PUBLISHED,mock-e5f6g7h8,2026-04-24T11:05:00Z,null,2026-04-24T11:00:00Z,2026-04-24T11:05:00Z
listing-002,facebook,FAILED,null,null,null,2026-04-24T11:00:00Z,2026-04-24T11:06:00Z
,,,,,,,
activity_events,,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
listing-002,evt-003,ebay,2026-04-24T11:05:00Z,publish_success,"{""externalListingId"":""mock-e5f6g7h8""}",,
listing-002,evt-004,facebook,2026-04-24T11:06:00Z,publish_failed,"{""reason"":""Simulated marketplace error""}",,
,,,,,,,
,,,,,,,
Step 3. Webhook received — eBay item_sold [manual trigger],,,,,,,
marketplace_listings status does not change.,,,,,,,
,,,,,,,
listings (no change),,,,,,,
listingId,sellerId,title,description,price,createdAt,updatedAt,
listing-002,seller-001,iPad Pro,2024 model,800000,2026-04-24T11:00:00Z,2026-04-24T11:00:00Z,
,,,,,,,
marketplace_listings (no change),,,,,,,
listingId,marketplaceId,status,externalListingId,publishedAt,failReason,createdAt,updatedAt
listing-002,ebay,PUBLISHED,mock-e5f6g7h8,2026-04-24T11:05:00Z,null,2026-04-24T11:00:00Z,2026-04-24T11:05:00Z
listing-002,facebook,FAILED,null,null,null,2026-04-24T11:00:00Z,2026-04-24T11:06:00Z
,,,,,,,
activity_events (row added),,,,,,,
listingId,eventId,marketplaceId,timestamp,eventType,data,,
listing-002,evt-003,ebay,2026-04-24T11:05:00Z,publish_success,"{""externalListingId"":""mock-e5f6g7h8""}",,
listing-002,evt-004,facebook,2026-04-24T11:06:00Z,publish_failed,"{""reason"":""Simulated marketplace error""}",,
listing-002,evt-005,ebay,2026-04-24T11:15:00Z,item_sold,"{""buyerName"":""Test Buyer"",""salePrice"":800000,""transactionId"":""txn-002""}",,
